lexeme          lineNo TokenName              ValueIfNumber Parent                 isLeaf Node                  
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 13 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5b567         	 13 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 13 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
type           	 14 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
record         	 14 	 TK_RECORD             	 ----      	 A                     	 yes 	 TK_RECORD             	 
----           	 0  	 A                     	 ----      	 constructedDataType   	 no  	 A                     	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
#one           	 14 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 14 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b3             	 14 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 14 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
type           	 15 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
#point         	 15 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 15 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
d5             	 15 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 15 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5b567         	 16 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 16 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
c6             	 16 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmeticExpression  	 no  	 arith_term            	 
*              	 16 	 TK_MUL                	 ----      	 operator_second       	 yes 	 TK_MUL                	 
----           	 0  	 operator_second       	 ----      	 term_recursion        	 no  	 operator_second       	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
2              	 16 	 TK_NUM                	 2         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term_recursion        	 no  	 factor                	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 term_recursion        	 no  	 term_recursion        	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 arithmetic_recursion  	 yes 	 eps                   	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmeticExpression  	 no  	 arithmetic_recursion  	 
;              	 16 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 stmts                 	 no  	 otherStmts            	 
b3             	 17 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 17 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
c6             	 17 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmeticExpression  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
-              	 17 	 TK_MINUS              	 ----      	 operator              	 yes 	 TK_MINUS              	 
----           	 0  	 operator              	 ----      	 arithmetic_recursion  	 no  	 operator              	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmeticExpression  	 no  	 arithmetic_recursion  	 
c3             	 17 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmetic_recursion  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
eps            	 0  	 eps                   	 ----      	 arithmetic_recursion  	 yes 	 eps                   	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmetic_recursion  	 no  	 arithmetic_recursion  	 
;              	 17 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
while          	 18 	 TK_WHILE              	 ----      	 iterativeStmt         	 yes 	 TK_WHILE              	 
----           	 0  	 iterativeStmt         	 ----      	 stmt                  	 no  	 iterativeStmt         	 
(              	 18 	 TK_OP                 	 ----      	 iterativeStmt         	 yes 	 TK_OP                 	 
b5b567         	 18 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
----           	 0  	 booleanExpression     	 ----      	 iterativeStmt         	 no  	 booleanExpression     	 
<=             	 18 	 TK_LE                 	 ----      	 relationalOp          	 yes 	 TK_LE                 	 
----           	 0  	 relationalOp          	 ----      	 booleanExpression     	 no  	 relationalOp          	 
d5cc34         	 18 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
)              	 18 	 TK_CL                 	 ----      	 iterativeStmt         	 yes 	 TK_CL                 	 
read           	 19 	 TK_READ               	 ----      	 ioStmt                	 yes 	 TK_READ               	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 19 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 19 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 19 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 19 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 20 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 20 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
d3             	 20 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmeticExpression  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 20 	 TK_PLUS               	 ----      	 operator              	 yes 	 TK_PLUS               	 
----           	 0  	 operator              	 ----      	 arithmetic_recursion  	 no  	 operator              	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmeticExpression  	 no  	 arithmetic_recursion  	 
c3bd           	 20 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmetic_recursion  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
eps            	 0  	 eps                   	 ----      	 arithmetic_recursion  	 yes 	 eps                   	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmetic_recursion  	 no  	 arithmetic_recursion  	 
;              	 20 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 iterativeStmt         	 no  	 otherStmts            	 
b5b567         	 21 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 21 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5b567         	 21 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmeticExpression  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 21 	 TK_PLUS               	 ----      	 operator              	 yes 	 TK_PLUS               	 
----           	 0  	 operator              	 ----      	 arithmetic_recursion  	 no  	 operator              	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmeticExpression  	 no  	 arithmetic_recursion  	 
1              	 21 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmetic_recursion  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
eps            	 0  	 eps                   	 ----      	 arithmetic_recursion  	 yes 	 eps                   	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmetic_recursion  	 no  	 arithmetic_recursion  	 
;              	 21 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 22 	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 23 	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 23 	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 23 	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 23 	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 23 	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 24 	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 program               	 no  	 otherFunctions        	 
eps            	 0  	 eps                   	 ----      	 otherFunctions        	 yes 	 eps                   	 
----           	 0  	 otherFunctions        	 ----      	 otherFunctions        	 no  	 otherFunctions        	 
----           	 0  	 program               	 ----      	 $                     	 no  	 program               	 
_main          	 27 	 TK_MAIN               	 ----      	 mainFunction          	 yes 	 TK_MAIN               	 
----           	 0  	 mainFunction          	 ----      	 program               	 no  	 mainFunction          	 
record         	 28 	 TK_RECORD             	 ----      	 typeDefinition        	 yes 	 TK_RECORD             	 
----           	 0  	 typeDefinition        	 ----      	 typeDefinitions       	 no  	 typeDefinition        	 
#one           	 28 	 TK_RUID               	 ----      	 typeDefinition        	 yes 	 TK_RUID               	 
type           	 29 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
real           	 29 	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 29 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
x              	 29 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 29 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
----           	 0  	 fieldDefinitions      	 ----      	 typeDefinition        	 no  	 fieldDefinitions      	 
type           	 30 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
real           	 30 	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 30 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
y              	 30 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 30 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 moreFields            	 yes 	 eps                   	 
----           	 0  	 moreFields            	 ----      	 fieldDefinitions      	 no  	 moreFields            	 
endrecord      	 31 	 TK_ENDRECORD          	 ----      	 typeDefinition        	 yes 	 TK_ENDRECORD          	 
----           	 0  	 typeDefinitions       	 ----      	 stmts                 	 no  	 typeDefinitions       	 
definetype     	 32 	 TK_DEFINETYPE         	 ----      	 definetypestmt        	 yes 	 TK_DEFINETYPE         	 
----           	 0  	 definetypestmt        	 ----      	 typeDefinitions       	 no  	 definetypestmt        	 
record         	 32 	 TK_RECORD             	 ----      	 A                     	 yes 	 TK_RECORD             	 
----           	 0  	 A                     	 ----      	 definetypestmt        	 no  	 A                     	 
#one           	 32 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
as             	 32 	 TK_AS                 	 ----      	 definetypestmt        	 yes 	 TK_AS                 	 
#point         	 32 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
definetype     	 33 	 TK_DEFINETYPE         	 ----      	 definetypestmt        	 yes 	 TK_DEFINETYPE         	 
----           	 0  	 definetypestmt        	 ----      	 typeDefinitions       	 no  	 definetypestmt        	 
record         	 33 	 TK_RECORD             	 ----      	 A                     	 yes 	 TK_RECORD             	 
----           	 0  	 A                     	 ----      	 definetypestmt        	 no  	 A                     	 
#two           	 33 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
as             	 33 	 TK_AS                 	 ----      	 definetypestmt        	 yes 	 TK_AS                 	 
